Stand	Plot	TreeID	x_DBH_local_TLS	y_DBH_local_TLS	dbh_TLS	h_TLS	cra_TLS	dbh_field	h_field
151	151_3	520	-1.526033	-6.507224	24.083369	22.30903	7.758	24.8	22.3
151	151_3	526	-1.684995	4.170148	25.180459	21.03476	11.998	26.3	23.7
151	151_3	524	-5.203586	0.155463	26.340659	21.23744	11.276	26.8	23.6
151	151_3	521	-1.930153	-2.818357	26.780475	21.82469	12.754	27.9	23.7
151	151_3	522	-1.543083	-1.081755	28.368633	19.04009	1.487	30.2	24.7
151	151_4	534	-1.921677	5.267161	20.726786	18.67128	10.991	21.7	19.5
151	151_4	531	-3.436771	-2.032729	20.759133	20.59713	6.768	21.7	20.8
151	151_4	527	0.796085	2.123487	21.49649	20.96742	8.073	22.8	21.3
151	151_4	532	-3.026211	-0.064306	23.771007	19.65052	7.678	25	20.7
151	151_4	528	2.452621	1.553054	23.975758	18.45053	8.869	25.8	18.9
151	151_4	530	-0.113508	-2.607138	25.085578	18.47797	12.841	26.4	20.4
151	151_4	533	-4.260878	1.822512	26.508962	22.6093	11.746	27.6	23.4
151	151_4	529	3.57508	-1.840298	30.188709	21.49717	14.938	31.9	22.3
158	158_1	808	2.090024	-6.840197	21.926037	21.86431	10.509	22.8	22.5
158	158_1	806	-3.688653	-0.966221	22.530772	21.8402	9.496	23.8	22.3
158	158_1	804	-2.023447	-6.614366	24.735555	21.82342	14.126	27.4	23
158	158_1	805	-0.989353	-1.846856	26.618253	26.1217	12.347	27.1	26.8
158	158_1	803	6.792402	2.404919	26.661912	22.75382	13.463	28.8	24.7
158	158_1	807	-5.333695	1.24283	26.941884	25.1663	10.366	27.8	26
